"wikidata_uri","label","birth_year","gender","label","geo_coordinates","wikidata_uri"
http://www.wikidata.org/entity/Q107098546,Jérémy Lempin,1983,male,Pas-de-Calais,POINT(1.850000 50.950000),http://www.wikidata.org/entity/Q12689
http://www.wikidata.org/entity/Q107154540,Albert-Louis Deschamps,1889,male,Bordeaux,POINT(-0.579444 44.837778),http://www.wikidata.org/entity/Q1479
http://www.wikidata.org/entity/Q1072114,Nikolai Samokysh,1860,male,Nizhyn,POINT(31.880500 51.047361),http://www.wikidata.org/entity/Q952457
http://www.wikidata.org/entity/Q1077344,Chris Hondros,1970,male,New York City,POINT(-74.006111 40.712778),http://www.wikidata.org/entity/Q60
http://www.wikidata.org/entity/Q107760,Hans Hildenbrand,1870,male,Bad Boll,POINT(9.615556 48.639444),http://www.wikidata.org/entity/Q81572
http://www.wikidata.org/entity/Q108048862,Feyzi Öktem,1942,male,Ankara,POINT(32.838690 39.935760),http://www.wikidata.org/entity/Q3640
http://www.wikidata.org/entity/Q108290843,Carl August Stachelscheid,1919,male,Düsseldorf,POINT(6.776667 51.225556),http://www.wikidata.org/entity/Q1718
http://www.wikidata.org/entity/Q108290945,Willem Zwagers,1905,male,Amsterdam,POINT(4.883333 52.366667),http://www.wikidata.org/entity/Q727
http://www.wikidata.org/entity/Q108306133,Anna Dolgareva,1988,female,Kharkiv,POINT(36.231111 49.992500),http://www.wikidata.org/entity/Q42308
http://www.wikidata.org/entity/Q108321855,Heinz Raebiger,1903,male,Montabaur,POINT(7.825833 50.437500),http://www.wikidata.org/entity/Q632991
http://www.wikidata.org/entity/Q108400542,Hameed Abdullah,1958,male,Souq al-Shuyukh,POINT(46.447778 30.896944),http://www.wikidata.org/entity/Q4165411
http://www.wikidata.org/entity/Q108429845,Anthony Loyd,1966,male,Churt,POINT(-0.777478 51.135986),http://www.wikidata.org/entity/Q1790272
http://www.wikidata.org/entity/Q108561804,Ahmad Muwaffaq Zaydan,1963,male,Taftanaz,POINT(36.784722 35.998056),http://www.wikidata.org/entity/Q844598
http://www.wikidata.org/entity/Q108649,Edwin Erich Dwinger,1898,male,Kiel,POINT(10.139445 54.323333),http://www.wikidata.org/entity/Q1707
http://www.wikidata.org/entity/Q108695632,Jack Denton Scott,1915,male,Elkins,POINT(-79.850800 38.921400),http://www.wikidata.org/entity/Q952594
http://www.wikidata.org/entity/Q109102739,Frank E. Kleinschmidt,1871,male,Germany,POINT(10.000000 51.000000),http://www.wikidata.org/entity/Q183
http://www.wikidata.org/entity/Q109326653,Lola Bañon,1964,female,Benetússer,POINT(-0.397239 39.422656),http://www.wikidata.org/entity/Q23012
http://www.wikidata.org/entity/Q109479497,Thomas Fisher,1908,male,Cardiff,POINT(-3.179167 51.481667),http://www.wikidata.org/entity/Q10690
http://www.wikidata.org/entity/Q109851759,Piotr Andrews,1961,male,Kano,POINT(8.516667 12.000000),http://www.wikidata.org/entity/Q182984
http://www.wikidata.org/entity/Q109853850,Henry Buckley,1904,male,Manchester,POINT(-2.233333 53.466667),http://www.wikidata.org/entity/Q18125
http://www.wikidata.org/entity/Q110136807,Tadeusz Rozek,1897,male,Przemyśl,POINT(22.784240 49.783450),http://www.wikidata.org/entity/Q208473
http://www.wikidata.org/entity/Q1104100,Ko Rentmeester,1936,male,Amsterdam,POINT(4.883333 52.366667),http://www.wikidata.org/entity/Q727
http://www.wikidata.org/entity/Q110548609,Leslie Cornish Priest,1905,male,Clapham,POINT(-0.133939 51.463231),http://www.wikidata.org/entity/Q146659
http://www.wikidata.org/entity/Q110647631,Thijmen van de Burgt,1926,male,Zeist,POINT(5.233330 52.090000),http://www.wikidata.org/entity/Q33527010
http://www.wikidata.org/entity/Q110990047,Hachijō Yakichi,1877,male,Osaka Prefecture,POINT(135.519861 34.686333),http://www.wikidata.org/entity/Q122723
http://www.wikidata.org/entity/Q111288494,Óscar Mijallo,1972,male,Arenas de San Pedro,POINT(-5.091111 40.208889),http://www.wikidata.org/entity/Q641669
http://www.wikidata.org/entity/Q111305264,Victoria Roshchyna,1996,female,Zaporizhzhia,POINT(35.117500 47.850000),http://www.wikidata.org/entity/Q157835
http://www.wikidata.org/entity/Q111331681,Evgeniy Maloletka,1987,male,Berdiansk,POINT(36.788889 46.755556),http://www.wikidata.org/entity/Q33292
http://www.wikidata.org/entity/Q1113742,Clare Hollingworth,1911,female,Knighton,POINT(-1.116000 52.606000),http://www.wikidata.org/entity/Q6422364
http://www.wikidata.org/entity/Q111433188,Vladlen Tatarsky,1982,male,Makiivka,POINT(37.961111 48.055556),http://www.wikidata.org/entity/Q157134
http://www.wikidata.org/entity/Q111433321,Юрий Петрович Котенок,1971,male,Moscow,POINT(37.617500 55.750556),http://www.wikidata.org/entity/Q649
http://www.wikidata.org/entity/Q111461680,Kristina Melnikova,1987,female,Ryazan Oblast,POINT(40.600000 54.400000),http://www.wikidata.org/entity/Q2753
http://www.wikidata.org/entity/Q111468993,Margarita Seidler,1971,female,Lutherstadt Wittenberg,POINT(12.648400 51.867100),http://www.wikidata.org/entity/Q6837
http://www.wikidata.org/entity/Q111469300,Russell Bonner Bentley,1960,male,Austin,POINT(-97.733333 30.300000),http://www.wikidata.org/entity/Q16559
http://www.wikidata.org/entity/Q111470696,René Adrian,1930,male,Strasbourg,POINT(7.752222 48.573333),http://www.wikidata.org/entity/Q6602
http://www.wikidata.org/entity/Q111470738,Jacques Agié,1871,male,Cahors,POINT(1.440556 44.447500),http://www.wikidata.org/entity/Q23047
http://www.wikidata.org/entity/Q111472987,René Autones,1920,male,Argelès-sur-Mer,POINT(3.023889 42.546111),http://www.wikidata.org/entity/Q644728
http://www.wikidata.org/entity/Q111489917,Julien Bouchetal,1873,male,"20th arrondissement of Paris",POINT(2.399050 48.865061),http://www.wikidata.org/entity/Q210720
http://www.wikidata.org/entity/Q111490185,Maurice Boulay,1885,male,Neuilly-sur-Seine,POINT(2.267500 48.887222),http://www.wikidata.org/entity/Q48958
http://www.wikidata.org/entity/Q111493746,Paul Bressolles,1891,male,Paris,POINT(2.352222 48.856667),http://www.wikidata.org/entity/Q90
http://www.wikidata.org/entity/Q111685918,Harold Dick,1917,male,Fremantle,POINT(115.747500 -32.054167),http://www.wikidata.org/entity/Q606212
http://www.wikidata.org/entity/Q111765027,Fernand Jentile,1920,male,Collo,POINT(6.560900 37.006500),http://www.wikidata.org/entity/Q2983525
http://www.wikidata.org/entity/Q111781829,Raymond Varoqui,1921,male,Ottange,POINT(6.018333 49.442222),http://www.wikidata.org/entity/Q22010
http://www.wikidata.org/entity/Q111792947,Paul Corcuff,1927,male,Villejuif,POINT(2.361111 48.793889),http://www.wikidata.org/entity/Q128466
http://www.wikidata.org/entity/Q111793104,Alina Lipp,1993,female,Hamburg,POINT(10.000000 53.550000),http://www.wikidata.org/entity/Q1055
http://www.wikidata.org/entity/Q111836593,Amédée Eywinger,1883,male,Paris,POINT(2.352222 48.856667),http://www.wikidata.org/entity/Q90
http://www.wikidata.org/entity/Q111838183,Oleksandr Makhov,1986,male,Luhansk,POINT(39.297315 48.571708),http://www.wikidata.org/entity/Q134279
http://www.wikidata.org/entity/Q111838992,Jehan Fouquet,1890,male,Pantin,POINT(2.407222 48.898055),http://www.wikidata.org/entity/Q209086
http://www.wikidata.org/entity/Q111846744,Hans Rahm,1915,male,St. Gallen,POINT(9.377222 47.423333),http://www.wikidata.org/entity/Q25607
http://www.wikidata.org/entity/Q111850677,Maurice Grosclaude,1883,male,"12th arrondissement of Paris",POINT(2.388183 48.840808),http://www.wikidata.org/entity/Q171689
http://www.wikidata.org/entity/Q112054838,John R. Wilhelm,1916,male,Billings,POINT(-108.537222 45.786667),http://www.wikidata.org/entity/Q166304
http://www.wikidata.org/entity/Q112074603,Edwin Cleary,1857,male,Kentucky,POINT(-85.000000 37.500000),http://www.wikidata.org/entity/Q1603
http://www.wikidata.org/entity/Q112103588,Roderick Kenneth MacDonald,1912,male,Scotland,POINT(-5.000000 57.000000),http://www.wikidata.org/entity/Q22
http://www.wikidata.org/entity/Q112144255,Pierre Pansier,1894,male,Marseille,POINT(5.376389 43.296667),http://www.wikidata.org/entity/Q23482
http://www.wikidata.org/entity/Q112144414,Marcel Lorée,1888,male,"7th arrondissement of Paris",POINT(2.312778 48.859167),http://www.wikidata.org/entity/Q259463
http://www.wikidata.org/entity/Q112147348,Paul Ernest Maurice Ribar,1873,male,Le Havre,POINT(0.108056 49.494167),http://www.wikidata.org/entity/Q42810
http://www.wikidata.org/entity/Q112147423,Edmond Famechon,1883,male,Marseille,POINT(5.376389 43.296667),http://www.wikidata.org/entity/Q23482
http://www.wikidata.org/entity/Q112147638,Jacques Ridel,1896,male,"6th arrondissement of Paris",POINT(2.332233 48.850531),http://www.wikidata.org/entity/Q245546
http://www.wikidata.org/entity/Q112151876,Ernest Baguet,1874,male,Paris,POINT(2.352222 48.856667),http://www.wikidata.org/entity/Q90
http://www.wikidata.org/entity/Q1122045,Lajos Kuntár,1914,male,Csörötnek,POINT(16.364160 46.950630),http://www.wikidata.org/entity/Q876382
http://www.wikidata.org/entity/Q112263,Colin Ross,1885,male,Vienna,POINT(16.372500 48.208333),http://www.wikidata.org/entity/Q1741
http://www.wikidata.org/entity/Q112326997,Ronnie Noble,1916,male,Blackheath,POINT(0.009000 51.470000),http://www.wikidata.org/entity/Q880861
http://www.wikidata.org/entity/Q112519162,Martin Rajec,1975,male,Nitra,POINT(18.087500 48.314722),http://www.wikidata.org/entity/Q26397
http://www.wikidata.org/entity/Q112543647,Chiara Giannini,1974,female,Pisa,POINT(10.400000 43.716667),http://www.wikidata.org/entity/Q13375
http://www.wikidata.org/entity/Q112546143,Percival Phillips,1877,male,Brownsville,POINT(-79.889400 40.020000),http://www.wikidata.org/entity/Q1132976
http://www.wikidata.org/entity/Q112549326,Paul Beaver,1953,male,Winchester,POINT(-1.317000 51.063000),http://www.wikidata.org/entity/Q874300
http://www.wikidata.org/entity/Q112556482,Ìnna Zolotuchìna,1974,female,Sumy,POINT(34.799167 50.906667),http://www.wikidata.org/entity/Q156752
http://www.wikidata.org/entity/Q112898380,Андрей Витальевич Марочко,1980,male,Kumachove,POINT(38.264167 47.623889),http://www.wikidata.org/entity/Q4246902
http://www.wikidata.org/entity/Q112952,Ernst Zwilling,1904,male,Osijek,POINT(18.670278 45.560278),http://www.wikidata.org/entity/Q1640
http://www.wikidata.org/entity/Q113008750,Jules-Louis Tétart,1882,male,Argoules,POINT(1.832778 50.342778),http://www.wikidata.org/entity/Q30694
http://www.wikidata.org/entity/Q113086720,Victor Dietsch,1872,male,"17th arrondissement of Paris",POINT(2.307839 48.882244),http://www.wikidata.org/entity/Q197297
http://www.wikidata.org/entity/Q1133092,Vsevolod Vishnevsky,1900,male,Saint Petersburg,POINT(30.316667 59.950000),http://www.wikidata.org/entity/Q656
http://www.wikidata.org/entity/Q113412416,Irina Kuksenkova,1984,female,Kyiv,POINT(30.523611 50.450000),http://www.wikidata.org/entity/Q1899
http://www.wikidata.org/entity/Q113841599,Cecilia Sala,1995,female,Rome,POINT(12.482778 41.893056),http://www.wikidata.org/entity/Q220
http://www.wikidata.org/entity/Q114137076,Alojz Krivograd,1964,male,Slovenj Gradec,POINT(15.079044 46.509345),http://www.wikidata.org/entity/Q15918
http://www.wikidata.org/entity/Q114515974,Vadim Ghirda,1971,male,Romania,POINT(25.000000 46.000000),http://www.wikidata.org/entity/Q218
http://www.wikidata.org/entity/Q114600,Johannes-Matthias Hönscheid,1922,male,Eitorf,POINT(7.451667 50.769722),http://www.wikidata.org/entity/Q254649
http://www.wikidata.org/entity/Q11488414,Kenji Gotō,1967,male,Sendai,POINT(140.869417 38.268222),http://www.wikidata.org/entity/Q46747
http://www.wikidata.org/entity/Q115037452,András Földes,1971,male,Budapest,POINT(19.040833 47.498333),http://www.wikidata.org/entity/Q1781
http://www.wikidata.org/entity/Q115324718,Geōrgios Karagiōrgas,1919,male,Athens,POINT(23.728056 37.984167),http://www.wikidata.org/entity/Q1524
http://www.wikidata.org/entity/Q115408489,Dariush Goodarzikia,1947,male,Enaj,POINT(49.317778 34.230278),http://www.wikidata.org/entity/Q5375172
http://www.wikidata.org/entity/Q115408555,Mahmoud Badrfar,1959,male,Tehran,POINT(51.389722 35.688889),http://www.wikidata.org/entity/Q3616
http://www.wikidata.org/entity/Q11562820,Yōichi Watanabe,1972,male,Fuji,POINT(138.676278 35.161333),http://www.wikidata.org/entity/Q328613
http://www.wikidata.org/entity/Q1158512,Damien Parer,1912,male,City of Stonnington,POINT(145.029563 -37.856245),http://www.wikidata.org/entity/Q1409285
http://www.wikidata.org/entity/Q116009710,Maurine Mercier,1981,female,Lausanne,POINT(6.633333 46.533333),http://www.wikidata.org/entity/Q807
http://www.wikidata.org/entity/Q116062773,Boris Losin,1919,male,Poltava Governorate,POINT(34.568611 49.574444),http://www.wikidata.org/entity/Q1271216
http://www.wikidata.org/entity/Q116173859,Illia Ponomarenko,1992,male,Volnovakha,POINT(37.499861 47.599361),http://www.wikidata.org/entity/Q3562943
http://www.wikidata.org/entity/Q117121102,Robert Schutz,1925,male,Orange,POINT(-74.235700 40.768000),http://www.wikidata.org/entity/Q1087121
http://www.wikidata.org/entity/Q11715707,Jacek Łęski,1965,male,Łódź,POINT(19.466667 51.750000),http://www.wikidata.org/entity/Q580
http://www.wikidata.org/entity/Q11718772,Jan Przybyła,1884,male,"Sierakowice, Silesian Voivodeship",POINT(18.468420 50.278950),http://www.wikidata.org/entity/Q979581
http://www.wikidata.org/entity/Q117220565,Hamid Pourjabbar,1961,male,Tehran,POINT(51.389722 35.688889),http://www.wikidata.org/entity/Q3616
http://www.wikidata.org/entity/Q11749527,Krzysztof Miller,1962,male,Warsaw,POINT(21.011111 52.230000),http://www.wikidata.org/entity/Q270
http://www.wikidata.org/entity/Q11749538,Krzysztof Mroziewicz,1945,male,Słupica,POINT(21.390290 51.411720),http://www.wikidata.org/entity/Q82720
http://www.wikidata.org/entity/Q11751780,Dragoš Kalajić,1943,male,Belgrade,POINT(20.456944 44.817778),http://www.wikidata.org/entity/Q3711
http://www.wikidata.org/entity/Q1176550,David Schoenbrun,1915,male,New York City,POINT(-74.006111 40.712778),http://www.wikidata.org/entity/Q60
http://www.wikidata.org/entity/Q11768632,Marek Święcicki,1915,male,Odesa,POINT(30.732620 46.477470),http://www.wikidata.org/entity/Q1874
http://www.wikidata.org/entity/Q117812152,Tien Loi Nguyen,1918,male,Yên Phong,POINT(105.994167 21.206667),http://www.wikidata.org/entity/Q800053
http://www.wikidata.org/entity/Q117819787,Claudio Locatelli,1987,male,Bergamo,POINT(9.670000 45.695000),http://www.wikidata.org/entity/Q628
http://www.wikidata.org/entity/Q117968118,Tudor Iovu,1948,male,Ciopleni,POINT(28.949445 47.130278),http://www.wikidata.org/entity/Q4517192
http://www.wikidata.org/entity/Q11904754,Albert Abril,1947,male,Barcelona,POINT(2.176944 41.382500),http://www.wikidata.org/entity/Q1492
http://www.wikidata.org/entity/Q11946595,Sadurní Ximénez Enrich,1853,male,Maó,POINT(4.264167 39.889444),http://www.wikidata.org/entity/Q49550
http://www.wikidata.org/entity/Q11981248,Knud Flemming Helweg-Larsen,1911,male,Saint Croix,POINT(-64.748000 17.732000),http://www.wikidata.org/entity/Q642481
http://www.wikidata.org/entity/Q120085,Martha Gellhorn,1908,female,St. Louis,POINT(-90.199444 38.626389),http://www.wikidata.org/entity/Q38022
http://www.wikidata.org/entity/Q12018051,Galina Sanko,1904,female,Sudzha,POINT(35.270556 51.191389),http://www.wikidata.org/entity/Q72704
http://www.wikidata.org/entity/Q120278448,Igor Grebtsov,1923,male,Uzhur,POINT(89.816667 55.316667),http://www.wikidata.org/entity/Q196803
http://www.wikidata.org/entity/Q120621135,Else-Marie Ambrosius,1907,female,Hildesheim,POINT(9.950000 52.150000),http://www.wikidata.org/entity/Q3185
http://www.wikidata.org/entity/Q120716298,Vladimir Michajlovič Rossel‘s,1914,male,Pavlovsky Posad,POINT(38.650000 55.783333),http://www.wikidata.org/entity/Q177908
http://www.wikidata.org/entity/Q12105929,Kostyantyn Zaruba,1910,male,Dolynska,POINT(32.764772 48.111142),http://www.wikidata.org/entity/Q591822
http://www.wikidata.org/entity/Q12133605,Ivan Nekhoda,1910,male,Oleksiyivka,POINT(35.341667 49.923056),http://www.wikidata.org/entity/Q4061794
http://www.wikidata.org/entity/Q12171471,Artem Shevchenko,1977,male,Dnipro,POINT(35.040000 48.467500),http://www.wikidata.org/entity/Q48256
http://www.wikidata.org/entity/Q122335204,Anton Ivan Székely,1908,male,Sečovce,POINT(21.650000 48.700000),http://www.wikidata.org/entity/Q847336
http://www.wikidata.org/entity/Q122665124,Trisha Stratford,1951,female,Wellington,POINT(174.777222 -41.288889),http://www.wikidata.org/entity/Q23661
http://www.wikidata.org/entity/Q12277622,Daniel Blanchoud,1869,male,Lausanne,POINT(6.633333 46.533333),http://www.wikidata.org/entity/Q807
http://www.wikidata.org/entity/Q12281166,Ivan Radoslavov,1880,male,Gorna Oryahovitsa,POINT(25.704082 43.130393),http://www.wikidata.org/entity/Q115998
http://www.wikidata.org/entity/Q12292428,Richard von Mach,1853,male,"Jawory, Pomeranian Voivodeship",POINT(17.419160 54.315491),http://www.wikidata.org/entity/Q584495
http://www.wikidata.org/entity/Q12298530,Khristo Cherni︠a︡ev,1930,male,Varna,POINT(27.911080 43.211375),http://www.wikidata.org/entity/Q6506
http://www.wikidata.org/entity/Q123023673,Robert W. Cooper,1904,male,Toronto,POINT(-79.386667 43.670278),http://www.wikidata.org/entity/Q172
http://www.wikidata.org/entity/Q123080,Blaise Meliani,1887,male,La Chaux-de-Fonds,POINT(6.829558 47.099628),http://www.wikidata.org/entity/Q68124
http://www.wikidata.org/entity/Q1230935,Vsevolod Kochetov,1912,male,Veliky Novgorod,POINT(31.275790 58.520990),http://www.wikidata.org/entity/Q2235
http://www.wikidata.org/entity/Q123110455,Roser Oliver Olivella,1965,female,Sant Sadurní d'Anoia,POINT(1.785000 41.426111),http://www.wikidata.org/entity/Q984508
http://www.wikidata.org/entity/Q12328239,Nagieb Khaja,1979,male,Copenhagen,POINT(12.568889 55.676111),http://www.wikidata.org/entity/Q1748
http://www.wikidata.org/entity/Q123352,Christoph Reuter,1968,male,Sande,POINT(8.013889 53.502222),http://www.wikidata.org/entity/Q640905
http://www.wikidata.org/entity/Q123531486,Herbert Henry William Russell,1869,male,Royal Borough of Kensington and Chelsea,POINT(-0.195278 51.502222),http://www.wikidata.org/entity/Q188801
http://www.wikidata.org/entity/Q12356531,Vilmos Simon,1876,male,Clopotiva,POINT(22.821898 45.495737),http://www.wikidata.org/entity/Q256374
http://www.wikidata.org/entity/Q1238249,Dominique Lapierre,1931,male,Châtelaillon-Plage,POINT(-1.088056 46.073056),http://www.wikidata.org/entity/Q72234
http://www.wikidata.org/entity/Q1238740,Neil Sheehan,1936,male,Holyoke,POINT(-72.618056 42.204167),http://www.wikidata.org/entity/Q1637790
http://www.wikidata.org/entity/Q1239329,Don McCullin,1935,male,Finsbury Park,POINT(-0.103100 51.568300),http://www.wikidata.org/entity/Q122566
http://www.wikidata.org/entity/Q12411282,Roni Daniel,1947,male,Baghdad,POINT(44.366111 33.315278),http://www.wikidata.org/entity/Q1530
http://www.wikidata.org/entity/Q124158563,Joan Roura,1959,male,Badalona,POINT(2.233333 41.433333),http://www.wikidata.org/entity/Q15468
http://www.wikidata.org/entity/Q124343135,Daphne Wesdorp,1997,female,Bakkeveen,POINT(6.257200 53.081700),http://www.wikidata.org/entity/Q2389357
http://www.wikidata.org/entity/Q124518825,Hānī Jawharīyah,1939,male,Jerusalem,POINT(35.234156 31.776679),http://www.wikidata.org/entity/Q1218
http://www.wikidata.org/entity/Q124535829,Lorraine Stumm,1914,female,Charters Towers,POINT(146.260278 -20.073056),http://www.wikidata.org/entity/Q1020266
http://www.wikidata.org/entity/Q124576392,Germaine Kanova,1902,female,Boulogne-sur-Mer,POINT(1.613889 50.725555),http://www.wikidata.org/entity/Q81997
http://www.wikidata.org/entity/Q124625819,Andrey Morozov,1979,male,Moscow,POINT(37.617500 55.750556),http://www.wikidata.org/entity/Q649
http://www.wikidata.org/entity/Q124652448,Louis Well,1886,male,"17th arrondissement of Paris",POINT(2.307839 48.882244),http://www.wikidata.org/entity/Q197297
http://www.wikidata.org/entity/Q124790656,William George Horton,1893,male,Hamsey,POINT(0.000000 50.900000),http://www.wikidata.org/entity/Q5646409
http://www.wikidata.org/entity/Q125258229,Huda Emad Hegazi,1998,female,Linares,POINT(-3.633333 38.100000),http://www.wikidata.org/entity/Q281272
http://www.wikidata.org/entity/Q125357637,Oleksandr Tolokonnikov,1982,male,Dnipro,POINT(35.040000 48.467500),http://www.wikidata.org/entity/Q48256
http://www.wikidata.org/entity/Q125526373,Alan Hirons,1947,male,Melbourne,POINT(144.963056 -37.814167),http://www.wikidata.org/entity/Q3141
http://www.wikidata.org/entity/Q125535046,Semyon Eremin,1982,male,Prikumskoe,POINT(42.901944 44.236945),http://www.wikidata.org/entity/Q13667526
http://www.wikidata.org/entity/Q1261424,Tony Vaccaro,1922,male,Greensburg,POINT(-79.542222 40.297778),http://www.wikidata.org/entity/Q734974
http://www.wikidata.org/entity/Q12645802,Zoran Filipović,1959,male,Brčko,POINT(18.809167 44.878333),http://www.wikidata.org/entity/Q322828
http://www.wikidata.org/entity/Q126730848,Nikita Tsitsagi,1995,male,Moscow,POINT(37.617500 55.750556),http://www.wikidata.org/entity/Q649
http://www.wikidata.org/entity/Q12727590,Emil Gulian,1907,male,Giurgiu,POINT(25.966667 43.900000),http://www.wikidata.org/entity/Q202351
http://www.wikidata.org/entity/Q12735600,Milinko Stefanovici,1947,male,Kostajnik,POINT(19.298300 44.426900),http://www.wikidata.org/entity/Q2846446
http://www.wikidata.org/entity/Q1274616,Chris Hedges,1956,male,St. Johnsbury,POINT(-72.011546 44.455239),http://www.wikidata.org/entity/Q1014607
http://www.wikidata.org/entity/Q12749616,Vanja Bulić,1947,male,Kumanovo,POINT(21.714445 42.132222),http://www.wikidata.org/entity/Q54452
http://www.wikidata.org/entity/Q12751126,Dragica Srzentić,1912,female,Sovinjak,POINT(13.920000 45.370000),http://www.wikidata.org/entity/Q2128261
http://www.wikidata.org/entity/Q12751155,Dragoslav Bokan,1961,male,Belgrade,POINT(20.456944 44.817778),http://www.wikidata.org/entity/Q3711
http://www.wikidata.org/entity/Q12754437,Lazar Komarčić,1839,male,Pljevlja,POINT(19.350208 43.356617),http://www.wikidata.org/entity/Q211343
http://www.wikidata.org/entity/Q12758342,Rista Marjanovic,1885,male,Šabac,POINT(19.693889 44.755833),http://www.wikidata.org/entity/Q204472
http://www.wikidata.org/entity/Q12758344,Risto Djogo,1956,male,Kalinovik,POINT(18.450000 43.500000),http://www.wikidata.org/entity/Q995136
http://www.wikidata.org/entity/Q12788546,Ervin Hladnik Milharčič,1954,male,Nova Gorica,POINT(13.650000 45.966667),http://www.wikidata.org/entity/Q1018
http://www.wikidata.org/entity/Q12791737,Ivo Štandeker,1961,male,Maribor,POINT(15.633333 46.550000),http://www.wikidata.org/entity/Q1010
http://www.wikidata.org/entity/Q12792181,Janko Lavrin,1887,male,Krupa,POINT(15.219450 45.635722),http://www.wikidata.org/entity/Q2954410
http://www.wikidata.org/entity/Q128799375,Kim Sengupta,1956,male,London,POINT(-0.127500 51.507222),http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q1291529,E. Alexander Powell,1879,male,Syracuse,POINT(-76.144423 43.046899),http://www.wikidata.org/entity/Q128069
http://www.wikidata.org/entity/Q129623550,Vladimir Mikhailovich Aposhanskij,1910,male,Pogromets,POINT(37.846596 50.344073),http://www.wikidata.org/entity/Q21342568
http://www.wikidata.org/entity/Q130211524,Jorge Enrique Botero,1956,male,Bogotá,POINT(-74.081750 4.609710),http://www.wikidata.org/entity/Q2841
http://www.wikidata.org/entity/Q1304314,Janine di Giovanni,1961,female,New Jersey,POINT(-74.500000 40.000000),http://www.wikidata.org/entity/Q1408
http://www.wikidata.org/entity/Q131321678,Cloete Breytenbach,1933,male,Bonnievale,POINT(20.066667 -33.933333),http://www.wikidata.org/entity/Q892830
http://www.wikidata.org/entity/Q131324277,Максим Фадеев,1972,male,Donetsk,POINT(37.802778 48.015833),http://www.wikidata.org/entity/Q43070
http://www.wikidata.org/entity/Q131389584,Xuân Phượng,1929,female,Huế,POINT(107.576389 16.456111),http://www.wikidata.org/entity/Q36167
