person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_main,occupation_sec1,coded_employer,occupation_sec1_grouped
http://www.wikidata.org/entity/Q4121800,Liya Solomyanskaya,1907,female,Minsk,POINT (27.561837 53.902246),Eastern Europe,Belarus,Russian Fed. Belarus,1946-1970,669,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q26934893,Éric Schwab,1910,male,Hamburg,POINT (10 53.55),Western Europe,Germany,Germany,1946-1970,519,war-correspondent,other,agency,visual_media
http://www.wikidata.org/entity/Q27924793,Leo Leixner,1908,male,Thörl-Maglern,POINT (13.6525 46.543333),Western Europe,Austria,Central/Eastern Europe,1946-1970,528,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q516004,Denis Johnston,1901,male,Ireland,POINT (-8 53),Northern Europe,Ireland,Western Europe,1946-1970,795,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q230068,Ève Curie,1904,female,13th arrondissement of Paris,POINT (2.355556 48.832222),Western Europe,France,France,1946-1970,485,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q55120392,Robert Magidoff,1905,male,Kyiv,POINT (30.523611 50.45),Eastern Europe,Ukraine,Ukraine,1946-1970,831,war-correspondent,other,other,writing_intellectual
http://www.wikidata.org/entity/Q64502992,Heinz Fremke,1907,male,Poznań,POINT (16.933611 52.408333),Eastern Europe,Poland,Poland,1946-1970,919,war-correspondent,other,agency,visual_media
http://www.wikidata.org/entity/Q5486856,Frank Gillard,1908,male,Tiverton,POINT (-3.488 50.903),Northern Europe,United Kingdom,United Kingdom,1946-1970,825,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q9368884,Virginia Irwin,1908,female,Quincy,POINT (-91.388611 39.932222),Northern America,United States,United States Can.,1946-1970,1079,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q12105929,Kostyantyn Zaruba,1910,male,Dolynska,POINT (32.764772 48.111142),Eastern Europe,Ukraine,Ukraine,1946-1970,180,war-correspondent,other,enterprise,visual_media
http://www.wikidata.org/entity/Q731139,Alexander Werth,1901,male,Saint Petersburg,POINT (30.316667 59.95),European Russia,Russian Federation,Russian Fed. Belarus,1946-1970,974,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q120085,Martha Gellhorn,1908,female,St. Louis,POINT (-90.199444 38.626389),Northern America,United States,United States Can.,1946-1970,173,war-correspondent,other,enterprise,journalism_core
http://www.wikidata.org/entity/Q108321855,Heinz Raebiger,1903,male,Montabaur,POINT (7.825833 50.4375),Western Europe,Germany,Germany,1946-1970,42,war-photographer,other,other,visual_media
http://www.wikidata.org/entity/Q8198059,Anna Maria Martínez Sagi,1907,female,Barcelona,POINT (2.176944 41.3825),Southern Europe,Spain,Spain,1946-1970,1040,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q8201046,Antoni Campañà i Bandranas,1905,male,Arbúcies,POINT (2.514167 41.816111),Southern Europe,Spain,Spain,1946-1970,1041,war-photographer,other,newspaper,visual_media
http://www.wikidata.org/entity/Q13560405,Homer Bigart,1907,male,Hawley,POINT (-75.1792 41.4783),Northern America,United States,United States Can.,1946-1970,288,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q136213693,Alberts Jekste,1908,male,Liepāja,POINT (21.011111 56.508333),Eastern Europe,Latvia,Central/Eastern Europe,1946-1970,296,war-correspondent,other,enterprise,visual_media
http://www.wikidata.org/entity/Q960196,Roman Karmen,1906,male,Odesa,POINT (30.73262 46.47747),Eastern Europe,Ukraine,Ukraine,1946-1970,1099,war-photographer,other,other,writing_intellectual
http://www.wikidata.org/entity/Q89422711,Edward George William Malindine,1906,male,Walthamstow,POINT (-0.0211 51.584),Northern Europe,United Kingdom,United Kingdom,1946-1970,1065,war-photographer,other,agency,visual_media
http://www.wikidata.org/entity/Q77347,Gerda Taro,1910,female,Stuttgart,POINT (9.18 48.7775),Western Europe,Germany,Germany,1946-1970,1008,war-photographer,other,enterprise,visual_media
http://www.wikidata.org/entity/Q17432488,Godfrey Talbot,1908,male,West Yorkshire,POINT (-1.666667 53.75),Northern Europe,United Kingdom,United Kingdom,1946-1970,389,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q17537054,Catherine Gavin,1907,female,Aberdeen,POINT (-2.1 57.15),Northern Europe,United Kingdom,United Kingdom,1946-1970,393,war-correspondent,other,other,writing_intellectual
http://www.wikidata.org/entity/Q709579,Arthur Grimm,1908,male,Rehau,POINT (12.0354 50.2486),Western Europe,Germany,Germany,1946-1970,958,war-correspondent,other,enterprise,writing_intellectual
http://www.wikidata.org/entity/Q17418894,Audrey Russell,1906,female,Dublin,POINT (-6.260278 53.349722),Northern Europe,Ireland,Western Europe,1946-1970,386,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q724357,Mikhail Svetlov,1903,male,Dnipro,POINT (35.04 48.4675),Eastern Europe,Ukraine,Ukraine,1946-1970,968,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q44517,Bruno Kreisky,1911,male,Vienna,POINT (16.3725 48.208333),Western Europe,Austria,Central/Eastern Europe,1946-1970,716,war-correspondent,other,agency,other
http://www.wikidata.org/entity/Q3302258,Max Olivier-Lacamp,1914,male,Le Havre,POINT (0.108056 49.494167),Western Europe,France,France,1946-1970,608,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q361163,Yevgeny Khaldei,1916,male,Donetsk,POINT (37.802778 48.015833),Eastern Europe,Ukraine,Ukraine,1946-1970,641,war-correspondent,other,agency,journalism_core
http://www.wikidata.org/entity/Q116062773,Boris Losin,1919,male,Poltava Governorate,POINT (34.568611 49.574444),Eastern Europe,Ukraine,Ukraine,1946-1970,152,war-correspondent,other,newspaper,visual_media
http://www.wikidata.org/entity/Q934682,Jean Daniel,1920,male,Blida,POINT (2.833333 36.472222),Northern Africa,Algeria,Middle East,1946-1970,1077,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q2905536,John Phillips,1914,male,Bouïra,POINT (3.8925 36.378333),Northern Africa,Algeria,Middle East,1946-1970,544,war-photographer,other,other,journalism_core
http://www.wikidata.org/entity/Q352870,Joe Rosenthal,1911,male,"Washington, D.C.",POINT (-77.036667 38.895),Northern America,United States,United States Can.,1946-1970,634,war-photographer,other,enterprise,journalism_core
http://www.wikidata.org/entity/Q84714703,Yuriy Buryakivskyi,1914,male,Rechytsa,POINT (30.38796 52.3724),Eastern Europe,Belarus,Russian Fed. Belarus,1946-1970,1047,war-correspondent,other,newspaper,writing_intellectual
http://www.wikidata.org/entity/Q3142466,Lucien Bodard,1914,male,Chongqing,POINT (106.506945 29.55),Eastern Asia,China,Asia-Pacific,1946-1970,578,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q1483880,William Vandivert,1912,male,Evanston,POINT (-87.685 42.047222),Northern America,United States,United States Can.,1946-1970,324,war-photographer,other,enterprise,visual_media
http://www.wikidata.org/entity/Q152524,Robert Capa,1913,male,Budapest,POINT (19.040833 47.498333),Eastern Europe,Hungary,Central/Eastern Europe,1946-1970,331,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q111685918,Harold Dick,1917,male,Fremantle,POINT (115.7475 -32.054167),Australia/New Zealand,Australia,Asia-Pacific,1946-1970,81,war-correspondent,other,newspaper,visual_media
http://www.wikidata.org/entity/Q111765027,Fernand Jentile,1920,male,Collo,POINT (6.5609 37.0065),Northern Africa,Algeria,Middle East,1946-1970,83,war-photographer,other,television,journalism_core
http://www.wikidata.org/entity/Q98756136,Roy Wilder,1914,male,Spring Hope,POINT (-78.109722 35.944167),Northern America,United States,United States Can.,1946-1970,1111,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q1964719,Dmitry Baltermants,1912,male,Warsaw,POINT (21.011111 52.23),Eastern Europe,Poland,Poland,1946-1970,430,war-photographer,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q1113742,Clare Hollingworth,1911,female,Knighton,POINT (-1.116 52.606),Northern Europe,United Kingdom,United Kingdom,1946-1970,68,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q4122755,Boris Voytekhov,1911,male,Saint Petersburg,POINT (30.316667 59.95),European Russia,Russian Federation,Russian Fed. Belarus,1946-1970,670,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q76655843,Francis Hallawell,1912,male,Porto Alegre,POINT (-51.23 -30.032778),South America,Brazil,Global South,1946-1970,1002,war-correspondent,other,other,other
http://www.wikidata.org/entity/Q112103588,Roderick Kenneth MacDonald,1912,male,Scotland,POINT (-5 57),Northern Europe,United Kingdom,United Kingdom,1946-1970,95,war-correspondent,other,newspaper,writing_intellectual
http://www.wikidata.org/entity/Q112054838,John R. Wilhelm,1916,male,Billings,POINT (-108.537222 45.786667),Northern America,United States,United States Can.,1946-1970,93,war-correspondent,other,newspaper,other
http://www.wikidata.org/entity/Q112326997,Ronnie Noble,1916,male,Blackheath,POINT (0.009 51.47),Northern Europe,United Kingdom,United Kingdom,1946-1970,104,war-correspondent,other,enterprise,writing_intellectual
http://www.wikidata.org/entity/Q136386664,Акульшин Дмитрий Филиппович,1911,male,Donetsk,POINT (37.802778 48.015833),Eastern Europe,Ukraine,Ukraine,1946-1970,299,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q136631472,Andrejs Spekke,1915,male,Moscow,POINT (37.6175 55.750556),European Russia,Russian Federation,Russian Fed. Belarus,1921-1945,300,war-correspondent,other,other,writing_intellectual
http://www.wikidata.org/entity/Q3379683,Philippe Daudy,1925,male,16th arrondissement of Paris,POINT (2.276489 48.863611),Western Europe,France,France,1946-1970,618,war-correspondent,other,agency,journalism_core
http://www.wikidata.org/entity/Q3751306,Franco Ferrari,1929,male,Sondrio,POINT (9.87 46.16972),Southern Europe,Italy,Western Europe,1946-1970,648,war-correspondent,other,enterprise,journalism_core
http://www.wikidata.org/entity/Q3351411,Olivier Todd,1929,male,Neuilly-sur-Seine,POINT (2.2675 48.887222),Western Europe,France,France,1946-1970,615,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q104590752,Daniel Camus,1929,male,Reims,POINT (4.028611 49.265278),Western Europe,France,France,1946-1970,14,war-photographer,other,newspaper,visual_media
http://www.wikidata.org/entity/Q213957,Bernard B. Fall,1926,male,Vienna,POINT (16.3725 48.208333),Western Europe,Austria,Central/Eastern Europe,1946-1970,465,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q16015140,Paul Fregosi,1922,male,Marseille,POINT (5.376389 43.296667),Western Europe,France,France,1946-1970,353,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q1605885,Henri Huet,1927,male,Đà Lạt,POINT (108.4375 11.94),Southeastern Asia,Viet nam,Asia-Pacific,1946-1970,355,war-photographer,other,agency,journalism_core
http://www.wikidata.org/entity/Q66487154,Xu Huaizhong,1929,male,Handan,POINT (114.48937 36.61161),Eastern Asia,China,Asia-Pacific,1946-1970,928,war-correspondent,other,newspaper,writing_intellectual
http://www.wikidata.org/entity/Q6830516,Michael Gannon,1927,male,Fort Sill,POINT (-98.508333 34.704167),Northern America,United States,United States Can.,1946-1970,942,war-correspondent,other,other,writing_intellectual
http://www.wikidata.org/entity/Q6939240,Murray Fromson,1929,male,The Bronx,POINT (-73.873333 40.846667),Northern America,United States,United States Can.,1946-1970,946,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q1348644,Larry Burrows,1926,male,London,POINT (-0.1275 51.507222),Northern Europe,United Kingdom,United Kingdom,1946-1970,280,war-photographer,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q88645650,Hugo Wilmar,1923,male,Amersfoort,POINT (5.38 52.15),Western Europe,Netherlands,Western Europe,1946-1970,1058,war-photographer,other,enterprise,visual_media
http://www.wikidata.org/entity/Q117121102,Robert Schutz,1925,male,Orange,POINT (-74.2357 40.768),Northern America,United States,United States Can.,1946-1970,157,war-correspondent,other,agency,visual_media
