uriPer,labelPer,birthYear,gender,labelPlace,geometry,uriPlace,periods,FID,REGION,CNTR_ID,CNTR_NAME,NAME_ENGL,ISO3_CODE,coded_country,activityYear,periodsActivity
http://www.wikidata.org/entity/Q6793132,Maurice G. Hindus,1891,male,Mogilev region,POINT (30.3863 53.7254),http://www.wikidata.org/entity/Q189822,1891-1900,8,Eastern Europe,BY,Беларусь,Belarus,BLR,Baltic States Fin. Belar.,1936,1921-1945
http://www.wikidata.org/entity/Q51973534,Franz-Peter Weixler,1899,male,Munich,POINT (11.575 48.1375),http://www.wikidata.org/entity/Q1726,1891-1900,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1944,1921-1945
http://www.wikidata.org/entity/Q1133092,Vsevolod Vishnevsky,1900,male,Saint Petersburg,POINT (30.316667 59.95),http://www.wikidata.org/entity/Q656,1891-1900,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1945,1921-1945
http://www.wikidata.org/entity/Q3646655,Melchior Wańkowicz,1892,male,Kaliužyca,POINT (28.818056 53.988889),http://www.wikidata.org/entity/Q6398138,1891-1900,8,Eastern Europe,BY,Беларусь,Belarus,BLR,Baltic States Fin. Belar.,1937,1921-1945
http://www.wikidata.org/entity/Q3502694,Arkady Shaikhet,1898,male,Mykolaiv,POINT (31.995 46.975),http://www.wikidata.org/entity/Q41572,1891-1900,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1943,1921-1945
http://www.wikidata.org/entity/Q1609233,Herbert Volck,1894,male,Tartu,POINT (26.7225 58.38),http://www.wikidata.org/entity/Q13972,1891-1900,8,Eastern Europe,EE,Eesti,Estonia,EST,Baltic States Fin. Belar.,1939,1921-1945
http://www.wikidata.org/entity/Q3492049,Iosif Berman,1892,male,Burdujeni,POINT (26.279722 47.672222),http://www.wikidata.org/entity/Q18537031,1891-1900,8,Eastern Europe,RO,România,Romania,ROU,Central Europe,1937,1921-1945
http://www.wikidata.org/entity/Q112147638,Jacques Ridel,1896,male,6th arrondissement of Paris,POINT (2.332233 48.850531),http://www.wikidata.org/entity/Q245546,1891-1900,22,Western Europe,FR,France,France,FRA,France,1941,1921-1945
http://www.wikidata.org/entity/Q19692677,Osip Yevseyevich Chorny,1899,male,Minsk,POINT (27.561837 53.902246),http://www.wikidata.org/entity/Q2280,1891-1900,8,Eastern Europe,BY,Беларусь,Belarus,BLR,Baltic States Fin. Belar.,1944,1921-1945
http://www.wikidata.org/entity/Q1704676,Josef Grabler,1899,male,Sarre-Union,POINT (7.088611 48.940833),http://www.wikidata.org/entity/Q21569,1891-1900,22,Western Europe,FR,France,France,FRA,France,1944,1921-1945
http://www.wikidata.org/entity/Q103992387,Semyon Valdimirovich Alperin,1897,male,Simferopol,POINT (34.100039 44.948376),http://www.wikidata.org/entity/Q19566,1891-1900,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1942,1921-1945
