"pk_person_features","person_uri","occupation_main","occupation_sec1","coded_employer"
544,http://www.wikidata.org/entity/Q2905536,war-photographer,journalist,other
562,http://www.wikidata.org/entity/Q3048455,war-correspondent,journalist,newspaper
566,http://www.wikidata.org/entity/Q310900,war-correspondent,journalist,newspaper
567,http://www.wikidata.org/entity/Q3116258,war-photographer,journalist,other
573,http://www.wikidata.org/entity/Q3134441,war-correspondent,journalist,other
578,http://www.wikidata.org/entity/Q3142466,war-correspondent,journalist,newspaper
581,http://www.wikidata.org/entity/Q3158494,war-correspondent,journalist,television
582,http://www.wikidata.org/entity/Q3161503,war-correspondent,journalist,newspaper
585,http://www.wikidata.org/entity/Q3168596,war-correspondent,journalist,newspaper
586,http://www.wikidata.org/entity/Q3170750,war-correspondent,journalist,newspaper
596,http://www.wikidata.org/entity/Q3229253,war-photographer,photographer,agency
597,http://www.wikidata.org/entity/Q3266155,war-correspondent,journalist,newspaper
600,http://www.wikidata.org/entity/Q327426,war-photographer,journalist,newspaper
601,http://www.wikidata.org/entity/Q3275723,war-correspondent,journalist,newspaper
602,http://www.wikidata.org/entity/Q3286755,war-photographer,journalist,newspaper
606,http://www.wikidata.org/entity/Q3296318,war-correspondent,journalist,television
607,http://www.wikidata.org/entity/Q3299130,war-correspondent,journalist,newspaper
608,http://www.wikidata.org/entity/Q3302258,war-correspondent,journalist,newspaper
609,http://www.wikidata.org/entity/Q3303778,war-correspondent,journalist,other
615,http://www.wikidata.org/entity/Q3351411,war-correspondent,journalist,newspaper
618,http://www.wikidata.org/entity/Q3379683,war-correspondent,journalist,agency
626,http://www.wikidata.org/entity/Q34743,war-correspondent,journalist,other
634,http://www.wikidata.org/entity/Q352870,war-photographer,journalist,enterprise
639,http://www.wikidata.org/entity/Q3591222,war-correspondent,journalist,newspaper
641,http://www.wikidata.org/entity/Q361163,war-correspondent,journalist,agency
642,http://www.wikidata.org/entity/Q362337,war-photographer,journalist,agency
644,http://www.wikidata.org/entity/Q3675375,war-correspondent,journalist,newspaper
647,http://www.wikidata.org/entity/Q3751279,war-correspondent,journalist,enterprise
648,http://www.wikidata.org/entity/Q3751306,war-correspondent,journalist,enterprise
649,http://www.wikidata.org/entity/Q377314,war-photographer,journalist,other
661,http://www.wikidata.org/entity/Q3980231,war-photographer,photographer,enterprise
665,http://www.wikidata.org/entity/Q4069303,war-correspondent,translator,other
667,http://www.wikidata.org/entity/Q4104509,war-correspondent,journalist,other
669,http://www.wikidata.org/entity/Q4121800,war-correspondent,journalist,newspaper
670,http://www.wikidata.org/entity/Q4122755,war-correspondent,journalist,newspaper
692,http://www.wikidata.org/entity/Q4280007,war-correspondent,journalist,enterprise
716,http://www.wikidata.org/entity/Q44517,war-correspondent,politician,agency
723,http://www.wikidata.org/entity/Q4503108,war-correspondent,journalist,television
744,http://www.wikidata.org/entity/Q4718682,war-correspondent,journalist,newspaper
750,http://www.wikidata.org/entity/Q4734330,war-correspondent,journalist,television
751,http://www.wikidata.org/entity/Q47450994,war-correspondent,photographer,agency
772,http://www.wikidata.org/entity/Q496027,war-photographer,journalist,agency
776,http://www.wikidata.org/entity/Q4972273,war-correspondent,illustrator,newspaper
780,http://www.wikidata.org/entity/Q50060717,war-correspondent,journalist,newspaper
795,http://www.wikidata.org/entity/Q516004,war-correspondent,journalist,other
799,http://www.wikidata.org/entity/Q5181586,war-correspondent,journalist,newspaper
802,http://www.wikidata.org/entity/Q5214843,war-photographer,journalist,enterprise
811,http://www.wikidata.org/entity/Q5280188,war-photographer,journalist,enterprise
812,http://www.wikidata.org/entity/Q5289531,war-correspondent,journalist,enterprise
815,http://www.wikidata.org/entity/Q5341389,war-correspondent,journalist,newspaper
825,http://www.wikidata.org/entity/Q5486856,war-correspondent,radio-journalist,other
827,http://www.wikidata.org/entity/Q5493411,war-correspondent,journalist,newspaper
831,http://www.wikidata.org/entity/Q55120392,war-correspondent,writer,other
835,http://www.wikidata.org/entity/Q5531414,war-correspondent,journalist,other
863,http://www.wikidata.org/entity/Q573995,war-correspondent,journalist,enterprise
867,http://www.wikidata.org/entity/Q57781270,war-photographer,photographer,agency
868,http://www.wikidata.org/entity/Q5875912,war-correspondent,journalist,television
876,http://www.wikidata.org/entity/Q59526793,war-correspondent,journalist,newspaper
880,http://www.wikidata.org/entity/Q59780819,war-correspondent,journalist,newspaper
889,http://www.wikidata.org/entity/Q6099790,war-correspondent,journalist,newspaper
890,http://www.wikidata.org/entity/Q6108333,war-correspondent,journalist,enterprise
892,http://www.wikidata.org/entity/Q6112214,war-correspondent,journalist,enterprise
896,http://www.wikidata.org/entity/Q6136813,war-photographer,photographer,newspaper
902,http://www.wikidata.org/entity/Q6173656,war-correspondent,journalist,newspaper
919,http://www.wikidata.org/entity/Q64502992,war-correspondent,photographer,agency
921,http://www.wikidata.org/entity/Q64685858,war-correspondent,novelist,newspaper
923,http://www.wikidata.org/entity/Q6540496,war-correspondent,journalist,enterprise
926,http://www.wikidata.org/entity/Q66041141,war-correspondent,journalist,other
928,http://www.wikidata.org/entity/Q66487154,war-correspondent,writer,newspaper
931,http://www.wikidata.org/entity/Q671985,war-correspondent,journalist,newspaper
935,http://www.wikidata.org/entity/Q6767269,war-correspondent,journalist,other
938,http://www.wikidata.org/entity/Q6791162,war-correspondent,journalist,newspaper
942,http://www.wikidata.org/entity/Q6830516,war-correspondent,historian,other
944,http://www.wikidata.org/entity/Q6860560,war-correspondent,journalist,other
946,http://www.wikidata.org/entity/Q6939240,war-correspondent,journalist,other
958,http://www.wikidata.org/entity/Q709579,war-correspondent,writer,enterprise
963,http://www.wikidata.org/entity/Q7154771,war-correspondent,journalist,television
968,http://www.wikidata.org/entity/Q724357,war-correspondent,journalist,other
969,http://www.wikidata.org/entity/Q7274096,war-correspondent,journalist,enterprise
974,http://www.wikidata.org/entity/Q731139,war-correspondent,journalist,newspaper
986,http://www.wikidata.org/entity/Q7384540,war-photographer,journalist,other
1001,http://www.wikidata.org/entity/Q76632,war-correspondent,journalist,newspaper
1002,http://www.wikidata.org/entity/Q76655843,war-correspondent,engineer,other
1003,http://www.wikidata.org/entity/Q766913,war-correspondent,journalist,television
1004,http://www.wikidata.org/entity/Q7679021,war-correspondent,announcer,enterprise
1005,http://www.wikidata.org/entity/Q76935,war-photographer,journalist,agency
1008,http://www.wikidata.org/entity/Q77347,war-photographer,photographer,enterprise
1012,http://www.wikidata.org/entity/Q7788166,war-photographer,journalist,enterprise
1027,http://www.wikidata.org/entity/Q7969034,war-correspondent,journalist,newspaper
1029,http://www.wikidata.org/entity/Q7987177,war-correspondent,journalist,enterprise
1031,http://www.wikidata.org/entity/Q8007849,war-correspondent,journalist,agency
1034,http://www.wikidata.org/entity/Q8029120,war-correspondent,journalist,newspaper
1036,http://www.wikidata.org/entity/Q8048898,war-photographer,journalist,enterprise
1040,http://www.wikidata.org/entity/Q8198059,war-correspondent,journalist,newspaper
1041,http://www.wikidata.org/entity/Q8201046,war-photographer,photographer,newspaper
1043,http://www.wikidata.org/entity/Q831101,war-correspondent,photographer,other
1044,http://www.wikidata.org/entity/Q84121088,war-photographer,photographer,other
1046,http://www.wikidata.org/entity/Q84593699,war-photographer,photographer,enterprise
1047,http://www.wikidata.org/entity/Q84714703,war-correspondent,writer,newspaper
1054,http://www.wikidata.org/entity/Q85870330,war-correspondent,journalist,enterprise
1058,http://www.wikidata.org/entity/Q88645650,war-photographer,photographer,enterprise
1063,http://www.wikidata.org/entity/Q89017951,war-correspondent,photographer,other
1065,http://www.wikidata.org/entity/Q89422711,war-photographer,photographer,agency
1071,http://www.wikidata.org/entity/Q920637,war-correspondent,journalist,newspaper
1075,http://www.wikidata.org/entity/Q922552,war-correspondent,journalist,agency
1077,http://www.wikidata.org/entity/Q934682,war-correspondent,journalist,newspaper
1079,http://www.wikidata.org/entity/Q9368884,war-correspondent,journalist,newspaper
1081,http://www.wikidata.org/entity/Q937835,war-correspondent,journalist,other
1098,http://www.wikidata.org/entity/Q959600,war-correspondent,journalist,newspaper
1099,http://www.wikidata.org/entity/Q960196,war-photographer,writer,other
1103,http://www.wikidata.org/entity/Q96743044,war-correspondent,journalist,newspaper
1111,http://www.wikidata.org/entity/Q98756136,war-correspondent,journalist,newspaper
1114,http://www.wikidata.org/entity/Q99390539,war-correspondent,journalist,newspaper
