person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_main,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q12105929,Kostyantyn Zaruba,1910,male,Dolynska,POINT (32.764772 48.111142),Eastern Europe,Ukraine,Ukraine,1946-1970,184,war-correspondent,visual_media,press / corporate and general
http://www.wikidata.org/entity/Q89422711,Edward George William Malindine,1906,male,Walthamstow,POINT (-0.0211 51.584),Northern Europe,United Kingdom,United Kingdom,1946-1970,1116,war-photographer,visual_media,press / other
http://www.wikidata.org/entity/Q6790634,Matthew Halton,1904,male,Pincher Creek,POINT (-113.948222 49.485639),Northern America,Canada,United States Can.,1946-1970,984,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q64502992,Heinz Fremke,1907,male,Poznań,POINT (16.933611 52.408333),Eastern Europe,Poland,Poland,1946-1970,964,war-correspondent,visual_media,other
http://www.wikidata.org/entity/Q13560405,Homer Bigart,1907,male,Hawley,POINT (-75.1792 41.4783),Northern America,United States,United States Can.,1946-1970,296,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q136213693,Alberts Jekste,1908,male,Liepāja,POINT (21.011111 56.508333),Eastern Europe,Latvia,Central/Eastern Europe,1946-1970,304,war-correspondent,visual_media,corporate and general
http://www.wikidata.org/entity/Q709579,Arthur Grimm,1908,male,Rehau,POINT (12.0354 50.2486),Western Europe,Germany,Germany,1946-1970,1005,war-correspondent,writing_intellectual,corporate and general
http://www.wikidata.org/entity/Q77347,Gerda Taro,1910,female,Stuttgart,POINT (9.18 48.7775),Western Europe,Germany,Germany,1946-1970,1056,war-photographer,visual_media,corporate and general
http://www.wikidata.org/entity/Q120085,Martha Gellhorn,1908,female,St. Louis,POINT (-90.199444 38.626389),Northern America,United States,United States Can.,1946-1970,177,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q8198059,Anna Maria Martínez Sagi,1907,female,Barcelona,POINT (2.176944 41.3825),Southern Europe,Spain,Spain,1946-1970,1089,war-correspondent,journalism_core,press / other
http://www.wikidata.org/entity/Q8201046,Antoni Campañà i Bandranas,1905,male,Arbúcies,POINT (2.514167 41.816111),Southern Europe,Spain,Spain,1946-1970,1090,war-photographer,visual_media,press
http://www.wikidata.org/entity/Q731139,Alexander Werth,1901,male,Saint Petersburg,POINT (30.316667 59.95),European Russia,Russian Federation,Russian Fed. Belarus,1946-1970,1022,war-correspondent,journalism_core,press / television and radio
http://www.wikidata.org/entity/Q724357,Mikhail Svetlov,1903,male,Dnipro,POINT (35.04 48.4675),Eastern Europe,Ukraine,Ukraine,1946-1970,1015,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q960196,Roman Karmen,1906,male,Odesa,POINT (30.73262 46.47747),Eastern Europe,Ukraine,Ukraine,1946-1970,1150,war-photographer,visual_media,other
http://www.wikidata.org/entity/Q9368884,Virginia Irwin,1908,female,Quincy,POINT (-91.388611 39.932222),Northern America,United States,United States Can.,1946-1970,1130,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q17537054,Catherine Gavin,1907,female,Aberdeen,POINT (-2.1 57.15),Northern Europe,United Kingdom,United Kingdom,1946-1970,410,war-correspondent,writing_intellectual,press / corporate and general
http://www.wikidata.org/entity/Q17432488,Godfrey Talbot,1908,male,West Yorkshire,POINT (-1.666667 53.75),Northern Europe,United Kingdom,United Kingdom,1946-1970,406,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q108321855,Heinz Raebiger,1903,male,Montabaur,POINT (7.825833 50.4375),Western Europe,Germany,Germany,1946-1970,45,war-photographer,visual_media,other
http://www.wikidata.org/entity/Q17418894,Audrey Russell,1906,female,Dublin,POINT (-6.260278 53.349722),Northern Europe,Ireland,Western Europe,1946-1970,403,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q44517,Bruno Kreisky,1911,male,Vienna,POINT (16.3725 48.208333),Western Europe,Austria,Central/Eastern Europe,1946-1970,749,war-correspondent,other,other
http://www.wikidata.org/entity/Q112054838,John R. Wilhelm,1916,male,Billings,POINT (-108.537222 45.786667),Northern America,United States,United States Can.,1946-1970,96,war-correspondent,other,press / academic and education
http://www.wikidata.org/entity/Q112103588,Roderick Kenneth MacDonald,1912,male,Scotland,POINT (-5 57),Northern Europe,United Kingdom,United Kingdom,1946-1970,98,war-correspondent,writing_intellectual,press / corporate and general
http://www.wikidata.org/entity/Q2905536,John Phillips,1914,male,Bouïra,POINT (3.8925 36.378333),Northern Africa,Algeria,Middle East,1946-1970,568,war-photographer,visual_media,press
http://www.wikidata.org/entity/Q112326997,Ronnie Noble,1916,male,Blackheath,POINT (0.009 51.47),Northern Europe,United Kingdom,United Kingdom,1946-1970,107,war-correspondent,writing_intellectual,other
http://www.wikidata.org/entity/Q84714703,Yuriy Buryakivskyi,1914,male,Rechytsa,POINT (30.38796 52.3724),Eastern Europe,Belarus,Russian Fed. Belarus,1946-1970,1096,war-correspondent,writing_intellectual,press
http://www.wikidata.org/entity/Q116062773,Boris Losin,1919,male,Poltava Governorate,POINT (34.568611 49.574444),Eastern Europe,Ukraine,Ukraine,1946-1970,156,war-correspondent,visual_media,press / other
http://www.wikidata.org/entity/Q98756136,Roy Wilder,1914,male,Spring Hope,POINT (-78.109722 35.944167),Northern America,United States,United States Can.,1946-1970,1165,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q3302258,Max Olivier-Lacamp,1914,male,Le Havre,POINT (0.108056 49.494167),Western Europe,France,France,1946-1970,635,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q4122755,Boris Voytekhov,1911,male,Saint Petersburg,POINT (30.316667 59.95),European Russia,Russian Federation,Russian Fed. Belarus,1946-1970,701,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q934682,Jean Daniel,1920,male,Blida,POINT (2.833333 36.472222),Northern Africa,Algeria,Middle East,1946-1970,1128,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q361163,Yevgeny Khaldei,1916,male,Donetsk,POINT (37.802778 48.015833),Eastern Europe,Ukraine,Ukraine,1946-1970,671,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q111765027,Fernand Jentile,1920,male,Collo,POINT (6.5609 37.0065),Northern Africa,Algeria,Middle East,1946-1970,86,war-photographer,journalism_core,corporate and general
http://www.wikidata.org/entity/Q3142466,Lucien Bodard,1914,male,Chongqing,POINT (106.506945 29.55),Eastern Asia,China,Asia-Pacific,1946-1970,604,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q1113742,Clare Hollingworth,1911,female,Knighton,POINT (-1.116 52.606),Northern Europe,United Kingdom,United Kingdom,1946-1970,71,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q111685918,Harold Dick,1917,male,Fremantle,POINT (115.7475 -32.054167),Australia/New Zealand,Australia,Asia-Pacific,1946-1970,84,war-correspondent,visual_media,press / government and military
