uriPer,labelPer,birthYear,gender,labelPlace,geometry,uriPlace,periods,FID,REGION,CNTR_ID,CNTR_NAME,NAME_ENGL,ISO3_CODE,coded_country,activityYear,periodsActivity
http://www.wikidata.org/entity/Q136386664,Акульшин Дмитрий Филиппович,1911,male,Donetsk,POINT (37.802778 48.015833),http://www.wikidata.org/entity/Q43070,1911-1920,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1956,1946-1970
http://www.wikidata.org/entity/Q135760626,Николай Григорьевич Михайловский,1911,male,Zhmerynka,POINT (28.099167 49.0425),http://www.wikidata.org/entity/Q956117,1911-1920,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1956,1946-1970
http://www.wikidata.org/entity/Q5093771,Chester Wilmot,1911,male,Brighton,POINT (144.996 -37.905),http://www.wikidata.org/entity/Q915776,1911-1920,2,Australia/New Zealand,AU,Australia,Australia,AUS,Asia-Pacific,1956,1946-1970
http://www.wikidata.org/entity/Q4511915,Yuly Chepurin,1914,male,Saratov,POINT (46.035 51.53),http://www.wikidata.org/entity/Q5332,1911-1920,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Fed. Belarus,1959,1946-1970
http://www.wikidata.org/entity/Q1340595,James Aldridge,1918,male,White Hills,POINT (144.3 -36.7333),http://www.wikidata.org/entity/Q7994799,1911-1920,2,Australia/New Zealand,AU,Australia,Australia,AUS,Asia-Pacific,1963,1946-1970
http://www.wikidata.org/entity/Q136805151,Frank A. Healy,1920,male,Toronto,POINT (-79.386667 43.670278),http://www.wikidata.org/entity/Q172,1911-1920,23,Northern America,CA,Canada-Canada,Canada,CAN,United States Can.,1965,1946-1970
http://www.wikidata.org/entity/Q15069605,Mikhail Koryakov,1911,male,Krasnoyarsk Krai,POINT (91.666667 59.883333),http://www.wikidata.org/entity/Q6563,1911-1920,1,Asiatic Russia,RU,Россия,Russian Federation,RUS,Russian Fed. Belarus,1956,1946-1970
http://www.wikidata.org/entity/Q1508257,George Silk,1916,male,Levin,POINT (175.275 -40.63333),http://www.wikidata.org/entity/Q1821910,1911-1920,2,Australia/New Zealand,NZ,New Zealand-Aotearoa,New Zealand,NZL,Asia-Pacific,1961,1946-1970
http://www.wikidata.org/entity/Q5541147,George Johnston,1912,male,Melbourne,POINT (144.963056 -37.814167),http://www.wikidata.org/entity/Q3141,1911-1920,2,Australia/New Zealand,AU,Australia,Australia,AUS,Asia-Pacific,1957,1946-1970
http://www.wikidata.org/entity/Q17190080,John Crichton,1917,male,Mumbai,POINT (72.8775 19.075833),http://www.wikidata.org/entity/Q1156,1911-1920,18,Southern Asia,IN,India-भारत,India,IND,Asia-Pacific,1962,1946-1970
