"pk_person_features","person_uri","occupation_main","occupation_sec2","coded_employer"
655,http://www.wikidata.org/entity/Q3473254,war-correspondent,journalist,press
656,http://www.wikidata.org/entity/Q34743,war-correspondent,journalist,press / corporate and general
664,http://www.wikidata.org/entity/Q352870,war-photographer,photographer,other
669,http://www.wikidata.org/entity/Q3591222,war-correspondent,journalist,press / television and radio
671,http://www.wikidata.org/entity/Q361163,war-correspondent,journalist,other
672,http://www.wikidata.org/entity/Q362337,war-photographer,photographer,corporate and general
674,http://www.wikidata.org/entity/Q3675375,war-correspondent,journalist,press
677,http://www.wikidata.org/entity/Q3751279,war-correspondent,journalist,other
678,http://www.wikidata.org/entity/Q3751306,war-correspondent,journalist,other
679,http://www.wikidata.org/entity/Q377314,war-photographer,writer,other
691,http://www.wikidata.org/entity/Q3980231,war-photographer,photographer,corporate and general
695,http://www.wikidata.org/entity/Q4069303,war-correspondent,translator,press / academic and education
698,http://www.wikidata.org/entity/Q4104509,war-correspondent,journalist,other
700,http://www.wikidata.org/entity/Q4121800,war-correspondent,journalist,press
701,http://www.wikidata.org/entity/Q4122755,war-correspondent,journalist,press / corporate and general
724,http://www.wikidata.org/entity/Q4280007,war-correspondent,journalist,corporate and general
730,http://www.wikidata.org/entity/Q434185,war-correspondent,journalist,press / corporate and general
749,http://www.wikidata.org/entity/Q44517,war-correspondent,politician,other
756,http://www.wikidata.org/entity/Q4503108,war-correspondent,journalist,other
761,http://www.wikidata.org/entity/Q453447,war-correspondent,journalist,press / other
778,http://www.wikidata.org/entity/Q4718682,war-correspondent,journalist,press
784,http://www.wikidata.org/entity/Q4734330,war-correspondent,journalist,other
785,http://www.wikidata.org/entity/Q47450994,war-correspondent,photographer,other
808,http://www.wikidata.org/entity/Q496027,war-photographer,photographer,corporate and general
812,http://www.wikidata.org/entity/Q4972273,war-correspondent,illustrator,press / academic and education
816,http://www.wikidata.org/entity/Q50060717,war-correspondent,journalist,press
832,http://www.wikidata.org/entity/Q516004,war-correspondent,journalist,other
836,http://www.wikidata.org/entity/Q5181586,war-correspondent,journalist,press
839,http://www.wikidata.org/entity/Q5214843,war-photographer,photographer,corporate and general
848,http://www.wikidata.org/entity/Q5280188,war-photographer,photographer,press / corporate and general
849,http://www.wikidata.org/entity/Q5289531,war-correspondent,journalist,corporate and general
852,http://www.wikidata.org/entity/Q5341389,war-correspondent,journalist,press / corporate and general
865,http://www.wikidata.org/entity/Q5486856,war-correspondent,radio-journalist,other
868,http://www.wikidata.org/entity/Q5493411,war-correspondent,journalist,press / corporate and general
872,http://www.wikidata.org/entity/Q55120392,war-correspondent,writer,other
876,http://www.wikidata.org/entity/Q5531414,war-correspondent,journalist,other
907,http://www.wikidata.org/entity/Q573995,war-correspondent,journalist,corporate and general
911,http://www.wikidata.org/entity/Q57781270,war-photographer,photographer,other
912,http://www.wikidata.org/entity/Q5875912,war-correspondent,journalist,other
920,http://www.wikidata.org/entity/Q59526793,war-correspondent,journalist,press
924,http://www.wikidata.org/entity/Q59780819,war-correspondent,journalist,press / corporate and general
934,http://www.wikidata.org/entity/Q6099790,war-correspondent,journalist,press
935,http://www.wikidata.org/entity/Q6108333,war-correspondent,journalist,corporate and general
